insert_date,origin,destination,start_date,end_date,train_type,price,train_class,fare
2019-04-15T16:16:45Z,BARCELONA,MADRID,2019-04-29T06:40:00Z,2019-04-29T09:25:00Z,AVE,69.8,Turista Plus,Promo
2019-04-17T16:42:54Z,MADRID,VALENCIA,2019-04-22T18:40:00Z,2019-04-22T20:20:00Z,AVE,73.1,Turista,Flexible
2019-04-18T17:18:58Z,SEVILLA,MADRID,2019-04-22T07:40:00Z,2019-04-22T10:05:00Z,AVE,NA,Turista,Flexible
2019-04-15T10:01:04Z,SEVILLA,MADRID,2019-04-28T20:36:00Z,2019-04-28T23:14:00Z,ALVIA,NA,Turista,Flexible
2019-04-16T10:41:33Z,MADRID,SEVILLA,2019-04-21T07:00:00Z,2019-04-21T09:55:00Z,AV City,58.95,Turista Plus,Promo
2019-04-16T16:09:13Z,MADRID,VALENCIA,2019-04-19T17:40:00Z,2019-04-19T19:20:00Z,AVE,57.75,Turista,Promo
2019-04-13T19:09:34Z,SEVILLA,MADRID,2019-04-27T13:40:00Z,2019-04-27T16:10:00Z,AVE,53.4,Turista,Promo
2019-04-23T22:31:27Z,BARCELONA,MADRID,2019-04-29T06:05:00Z,2019-04-29T09:15:00Z,AVE,102.15,Turista Plus,Promo
2019-04-26T17:22:21Z,MADRID,VALENCIA,2019-04-29T11:10:00Z,2019-04-29T13:25:00Z,INTERCITY,55.4,Turista,Flexible
2019-04-22T04:26:11Z,SEVILLA,MADRID,2019-04-26T14:58:00Z,2019-04-26T17:50:00Z,ALVIA,NA,Turista,Flexible
2019-04-21T10:25:42Z,SEVILLA,MADRID,2019-04-21T14:58:00Z,2019-04-21T17:50:00Z,ALVIA,NA,Turista,Flexible
2019-04-23T22:38:27Z,MADRID,SEVILLA,2019-04-26T16:30:00Z,2019-04-26T18:55:00Z,AVE,NA,Turista,Flexible
2019-04-22T19:21:29Z,SEVILLA,MADRID,2019-04-23T07:15:00Z,2019-04-23T09:55:00Z,AVE,76.3,Turista,Flexible
2019-04-11T23:44:49Z,MADRID,SEVILLA,2019-04-24T21:25:00Z,2019-04-25T00:10:00Z,AV City,38.55,Turista,Promo
2019-04-14T03:49:20Z,MADRID,BARCELONA,2019-04-17T08:00:00Z,2019-04-17T10:30:00Z,AVE,NA,Turista,Promo
2019-04-20T02:03:26Z,BARCELONA,MADRID,2019-04-23T08:25:00Z,2019-04-23T10:55:00Z,AVE,100.4,Turista,Promo
2019-04-22T11:33:46Z,BARCELONA,MADRID,2019-04-27T06:05:00Z,2019-04-27T09:15:00Z,AVE,85.1,Turista,Promo
2019-04-17T08:04:22Z,BARCELONA,MADRID,2019-04-22T13:25:00Z,2019-04-22T16:10:00Z,AVE,107.7,Turista,Flexible
2019-04-18T04:20:25Z,MADRID,BARCELONA,2019-04-29T14:00:00Z,2019-04-29T16:30:00Z,AVE,88.95,Turista,Promo
2019-04-16T17:46:17Z,SEVILLA,MADRID,2019-04-26T14:58:00Z,2019-04-26T17:50:00Z,ALVIA,NA,Turista,Flexible
2019-04-24T10:40:00Z,MADRID,VALENCIA,2019-04-28T11:10:00Z,2019-04-28T13:25:00Z,INTERCITY,55.4,Turista,Flexible
2019-04-20T05:00:25Z,SEVILLA,MADRID,2019-04-29T06:45:00Z,2019-04-29T09:15:00Z,AVE,76.3,Turista,Flexible
2019-04-19T07:06:49Z,VALENCIA,MADRID,2019-04-24T17:10:00Z,2019-04-24T18:50:00Z,AVE,66.55,Preferente,Promo
2019-04-17T06:20:46Z,VALENCIA,MADRID,2019-04-28T18:10:00Z,2019-04-28T19:57:00Z,AVE,45.3,Turista,Promo
2019-04-16T07:01:49Z,SEVILLA,MADRID,2019-04-21T14:45:00Z,2019-04-21T17:15:00Z,AVE,76.3,Turista,Flexible
2019-04-11T22:45:59Z,MADRID,BARCELONA,2019-04-20T10:30:00Z,2019-04-20T13:15:00Z,AVE,75.4,Turista,Promo
2019-04-15T05:04:55Z,MADRID,PONFERRADA,2019-04-25T12:20:00Z,2019-04-25T18:52:00Z,LD-MD,34.35,Turista con enlace,Promo +
2019-04-15T16:32:31Z,SEVILLA,MADRID,2019-04-30T21:00:00Z,2019-04-30T23:52:00Z,AV City,43.55,Turista,Promo
2019-04-15T06:15:00Z,MADRID,BARCELONA,2019-04-23T16:00:00Z,2019-04-23T18:30:00Z,AVE,127.1,Turista,Flexible
2019-04-13T19:13:18Z,SEVILLA,MADRID,2019-04-13T21:00:00Z,2019-04-13T23:52:00Z,AV City,49.15,Turista,Promo
2019-04-16T08:31:02Z,MADRID,BARCELONA,2019-04-17T14:30:00Z,2019-04-17T17:21:00Z,AVE,NA,Turista,Promo
2019-04-14T12:17:24Z,MADRID,VALENCIA,2019-04-21T11:55:00Z,2019-04-21T13:35:00Z,AVE,45.3,Turista,Promo
2019-04-22T04:13:19Z,BARCELONA,MADRID,2019-04-27T07:05:00Z,2019-04-27T09:50:00Z,AVE,75.4,Turista,Promo
2019-04-20T03:48:15Z,MADRID,VALENCIA,2019-04-29T16:05:00Z,2019-04-29T22:47:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-15T05:13:44Z,MADRID,VALENCIA,2019-04-19T15:30:00Z,2019-04-19T22:31:00Z,AVE-MD,NA,Turista con enlace,Flexible
2019-04-16T07:28:37Z,BARCELONA,MADRID,2019-04-24T12:50:00Z,2019-04-24T15:45:00Z,AVE-TGV,102.15,Turista Plus,Promo
2019-04-25T19:20:17Z,MADRID,SEVILLA,2019-04-28T19:30:00Z,2019-04-28T22:05:00Z,AVE,76.3,Turista,Flexible
