insert_date,origin,destination,start_date,end_date,train_type,price,train_class,fare
2019-05-02T11:30:27Z,MADRID,SEVILLA,2019-05-07T15:00:00Z,2019-05-07T17:21:00Z,AVE,53.4,Turista,Promo
2019-04-20T07:22:30Z,MADRID,VALENCIA,2019-05-05T11:55:00Z,2019-05-05T13:35:00Z,AVE,51.15,Turista,Promo
2019-04-21T09:16:32Z,BARCELONA,MADRID,2019-05-18T08:25:00Z,2019-05-18T10:55:00Z,AVE,88.95,Turista,Promo
2019-04-15T01:22:46Z,MADRID,VALENCIA,2019-05-10T16:55:00Z,2019-05-10T21:58:00Z,AVE-LD,56.1,Turista con enlace,Flexible
2019-04-18T05:28:35Z,VALENCIA,MADRID,2019-05-09T09:50:00Z,2019-05-09T17:28:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-20T03:10:38Z,MADRID,SEVILLA,2019-05-10T13:00:00Z,2019-05-10T15:40:00Z,AVE,60.3,Turista,Promo
2019-04-29T01:21:42Z,VALENCIA,MADRID,2019-05-12T17:30:00Z,2019-05-12T23:58:00Z,MD-LD,32.4,Turista con enlace,Promo +
2019-04-11T23:17:39Z,MADRID,BARCELONA,2019-05-23T12:30:00Z,2019-05-23T15:30:00Z,AVE,66.75,Turista,Promo
2019-04-16T02:25:51Z,SEVILLA,MADRID,2019-05-03T21:00:00Z,2019-05-03T23:52:00Z,AV City,49.15,Turista,Promo
2019-04-16T20:17:38Z,BARCELONA,MADRID,2019-05-23T15:00:00Z,2019-05-23T17:45:00Z,AVE,85.1,Turista,Promo
2019-04-24T00:31:57Z,VALENCIA,MADRID,2019-05-19T17:30:00Z,2019-05-19T23:58:00Z,MD-LD,28.1,Turista con enlace,Promo +
2019-04-22T11:03:09Z,MADRID,VALENCIA,2019-05-31T16:55:00Z,2019-05-31T21:58:00Z,AVE-LD,56.1,Turista con enlace,Flexible
2019-04-17T05:16:03Z,BARCELONA,MADRID,2019-05-01T19:00:00Z,2019-05-01T22:00:00Z,AVE,90.5,Turista Plus,Promo
2019-04-16T18:02:19Z,MADRID,SEVILLA,2019-05-28T08:30:00Z,2019-05-28T11:14:00Z,ALVIA,NA,Turista,Promo
2019-04-17T15:19:05Z,BARCELONA,MADRID,2019-05-09T08:00:00Z,2019-05-09T11:10:00Z,AVE,85.1,Turista,Promo
2019-05-01T19:12:17Z,VALENCIA,MADRID,2019-05-13T15:10:00Z,2019-05-13T17:03:00Z,AVE,39.45,Turista,Promo
2019-04-29T05:04:32Z,MADRID,PONFERRADA,2019-05-25T14:40:00Z,2019-05-25T18:33:00Z,LD-MD,54.1,Turista con enlace,Flexible
2019-04-28T17:06:35Z,MADRID,BARCELONA,2019-05-06T14:00:00Z,2019-05-06T16:30:00Z,AVE,88.95,Turista,Promo
2019-05-08T06:01:35Z,MADRID,SEVILLA,2019-05-15T17:00:00Z,2019-05-15T19:38:00Z,AVE,53.4,Turista,Promo
2019-04-23T05:38:45Z,MADRID,VALENCIA,2019-05-14T14:10:00Z,2019-05-14T16:03:00Z,AVE,27.8,Turista,Promo
2019-04-22T03:10:49Z,VALENCIA,MADRID,2019-05-03T10:40:00Z,2019-05-03T12:32:00Z,AVE,66.55,Preferente,Promo
2019-04-19T11:34:13Z,MADRID,VALENCIA,2019-05-02T16:05:00Z,2019-05-02T22:47:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-18T21:38:40Z,SEVILLA,MADRID,2019-05-15T08:45:00Z,2019-05-15T11:15:00Z,AVE,60.3,Turista,Promo
2019-04-13T18:20:39Z,MADRID,SEVILLA,2019-05-21T16:00:00Z,2019-05-21T18:30:00Z,AVE,47.3,Turista,Promo
2019-04-18T07:24:52Z,MADRID,BARCELONA,2019-05-17T08:00:00Z,2019-05-17T10:30:00Z,AVE,78.8,Turista,Promo
2019-04-13T05:16:24Z,MADRID,VALENCIA,2019-05-15T14:10:00Z,2019-05-15T16:03:00Z,AVE,NA,Turista,Promo
2019-04-21T21:09:22Z,MADRID,BARCELONA,2019-05-03T07:30:00Z,2019-05-03T10:40:00Z,AVE,75.4,Turista,Promo
2019-04-20T13:47:08Z,BARCELONA,MADRID,2019-05-09T07:40:00Z,2019-05-09T10:10:00Z,AVE,100.4,Turista,Promo
2019-04-23T07:34:10Z,MADRID,SEVILLA,2019-05-10T13:30:00Z,2019-05-10T16:05:00Z,ALVIA,NA,Turista,Flexible
2019-04-16T02:03:29Z,BARCELONA,MADRID,2019-05-09T06:40:00Z,2019-05-09T09:25:00Z,AVE,66.75,Turista,Promo
2019-04-16T00:23:20Z,MADRID,BARCELONA,2019-05-17T19:30:00Z,2019-05-17T22:40:00Z,AVE,75.4,Turista,Promo
2019-04-12T14:06:26Z,MADRID,VALENCIA,2019-05-20T18:40:00Z,2019-05-20T20:20:00Z,AVE,NA,Turista,Promo
2019-04-15T11:20:58Z,MADRID,SEVILLA,2019-05-12T17:00:00Z,2019-05-12T19:38:00Z,AVE,69.4,Preferente,Promo
2019-04-21T11:33:40Z,SEVILLA,MADRID,2019-05-24T09:50:00Z,2019-05-24T12:36:00Z,ALVIA,NA,Turista,Promo
2019-04-13T00:31:45Z,MADRID,BARCELONA,2019-05-31T15:00:00Z,2019-05-31T17:30:00Z,AVE,NA,Turista,Promo
2019-04-25T15:33:23Z,VALENCIA,MADRID,2019-05-05T18:35:00Z,2019-05-05T20:21:00Z,AVE,73.1,Turista,Flexible
2019-04-18T08:38:19Z,MADRID,VALENCIA,2019-05-27T16:45:00Z,2019-05-27T18:50:00Z,ALVIA,27.7,Preferente,Promo
2019-04-20T08:31:26Z,MADRID,BARCELONA,2019-05-31T14:30:00Z,2019-05-31T17:21:00Z,AVE,85.1,Turista,Promo
2019-04-21T09:05:27Z,MADRID,SEVILLA,2019-05-06T15:00:00Z,2019-05-06T17:21:00Z,AVE,60.3,Turista,Promo
2019-04-15T10:34:28Z,VALENCIA,MADRID,2019-05-23T14:50:00Z,2019-05-23T22:30:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-18T14:40:56Z,MADRID,BARCELONA,2019-05-16T11:30:00Z,2019-05-16T14:40:00Z,AVE,58.15,Turista,Promo
2019-04-16T15:25:19Z,MADRID,BARCELONA,2019-05-07T06:30:00Z,2019-05-07T09:20:00Z,AVE,66.75,Turista,Promo
2019-04-14T14:21:53Z,SEVILLA,MADRID,2019-05-21T08:45:00Z,2019-05-21T11:15:00Z,AVE,60.3,Turista,Promo
2019-04-25T13:23:08Z,VALENCIA,MADRID,2019-05-28T18:10:00Z,2019-05-28T19:57:00Z,AVE,33.65,Turista,Promo
2019-04-19T19:09:58Z,SEVILLA,MADRID,2019-05-14T20:36:00Z,2019-05-14T23:14:00Z,ALVIA,67.2,Turista,Flexible
2019-04-22T11:35:21Z,BARCELONA,MADRID,2019-05-27T06:25:00Z,2019-05-27T08:55:00Z,AVE,68.65,Turista,Promo
2019-04-21T21:28:07Z,BARCELONA,MADRID,2019-05-03T10:00:00Z,2019-05-03T13:10:00Z,AVE,85.1,Turista,Promo
2019-04-12T18:25:35Z,MADRID,SEVILLA,2019-05-30T18:35:00Z,2019-05-30T21:08:00Z,ALVIA,NA,Turista,Flexible
2019-04-15T04:35:42Z,VALENCIA,MADRID,2019-05-15T09:00:00Z,2019-05-15T11:33:00Z,ALVIA,35.5,Turista,Promo
2019-04-13T20:01:50Z,MADRID,BARCELONA,2019-05-27T20:30:00Z,2019-05-27T23:40:00Z,AVE,49.15,Turista Plus,Promo
2019-04-18T23:19:00Z,VALENCIA,MADRID,2019-05-28T18:10:00Z,2019-05-28T19:57:00Z,AVE,33.65,Turista,Promo
